filename	status	skip_reason	valid_pixels	depth_affine_invariant.absrel	depth_affine_invariant.delta1	depth_affine_invariant.delta2	depth_affine_invariant.rmse	depth_metric.absrel	depth_metric.delta1	depth_metric.delta2	depth_metric.rmse	depth_scale_invariant.absrel	depth_scale_invariant.delta1	depth_scale_invariant.delta2	depth_scale_invariant.rmse	disparity_affine_invariant.absrel	disparity_affine_invariant.delta1	disparity_affine_invariant.delta2	disparity_affine_invariant.rmse	inference_time
Cleaned_Dataset_Campus/003d14f8ba845173f71622f07c366d0bda87bdf5	ok		686784	0.025632	0.997905	1.000000	4.076226	0.983527	0.000000	0.000000	109.255028	0.088131	0.925802	0.999789	10.933784	0.022605	0.997777	1.000000	3.578912	1.087842
Cleaned_Dataset_Campus/0076e6731e7f8cda9ba9a1409f35c761a4fcd975	ok		686782	0.030720	0.999125	1.000000	9.043414	0.988200	0.000000	0.000000	163.729660	0.109479	0.894801	0.999830	30.154409	0.014798	0.999339	1.000000	4.000975	1.078927
Cleaned_Dataset_Campus/00aec9feacc5d5f11a3a3e849e2420af9f91dbda	ok		1235780	0.028700	0.999383	0.999889	2.638911	0.976170	0.000000	0.000000	66.506035	0.056622	0.999023	0.999865	4.169469	0.027135	0.999389	0.999889	2.446270	1.086734
Cleaned_Dataset_Campus/00c2866019692c7d1f90ff0cf3a5158b322237c0	ok		1235780	0.028031	0.997900	0.999724	2.616099	0.964894	0.000000	0.000000	60.433094	0.137242	0.638882	0.999438	7.593911	0.028334	0.998361	0.999734	2.652239	1.086782
Cleaned_Dataset_Campus/0111062125c149fc315d12a347581ad4fbd8c111	ok		1235780	0.042742	0.997351	0.999124	6.075107	0.979274	0.000000	0.000000	109.923714	0.042896	0.998429	0.999158	6.001585	0.045278	0.998989	0.999325	5.862524	1.093261
Cleaned_Dataset_Campus/01215c77a593269172c852c483dabd9c0aa5d160	ok		686784	0.055111	0.984777	0.998792	8.837355	0.979190	0.000000	0.000000	91.990067	0.153671	0.823244	0.982542	23.188049	0.034980	0.996712	0.998869	6.215385	1.080643
Cleaned_Dataset_Campus/0122c35b6f776592e085fb47ad4bb81121b1e941	ok		1235780	0.043851	0.998601	0.999926	5.646060	0.982375	0.000000	0.000000	83.835480	0.071155	0.958582	0.999845	11.236300	0.034318	0.998943	0.999925	3.735698	1.084281
Cleaned_Dataset_Campus/01334ed4583321adf0c633110556976ae2fe63a9	ok		1235780	0.080076	0.886697	0.995973	6.125095	0.957354	0.000000	0.000000	52.207344	0.082258	0.884422	0.995921	6.317194	0.076232	0.886742	0.995960	6.018092	1.088636
Cleaned_Dataset_Campus/016050b8cc2279d7c04a1474724b5290a184689c	ok		686784	0.025493	0.998065	0.999390	2.393368	0.967346	0.000000	0.000000	58.348122	0.150943	0.617311	0.999093	7.950574	0.036647	0.998366	0.999506	2.551925	1.079322
Cleaned_Dataset_Campus/01d42c580eb4444c5db96d6d802f4c2ec8f5fe6d	ok		686784	0.048189	0.999208	1.000000	9.669978	0.988273	0.000000	0.000000	163.976089	0.145945	0.818834	0.993984	38.686234	0.027230	0.999336	1.000000	5.738676	1.081926
Cleaned_Dataset_Campus/0224cbc40e8007a1c7aa6da365976889cf845ec5	ok		686784	0.053113	0.994668	0.999313	4.141719	0.965576	0.000000	0.000000	62.076908	0.073386	0.994332	0.999093	5.062236	0.065479	0.995070	0.999591	4.887385	1.087575
Cleaned_Dataset_Campus/02d8c2292be69a5b1de1c328bc1e251a1886be2d	ok		1235780	0.069540	0.989911	0.999951	7.050330	0.979578	0.000000	0.000000	83.547806	0.077064	0.983351	0.999771	9.680023	0.062204	0.989761	0.999930	6.251231	1.087066
Cleaned_Dataset_Campus/02e5bc2c37ef37f9a01e9d8d7f94d4da20655d3a	ok		686784	0.048499	0.988504	0.998397	8.312174	0.971272	0.000000	0.000000	85.346870	0.099597	0.904242	0.996117	16.021727	0.037665	0.988583	0.998682	5.486793	1.081167
Cleaned_Dataset_Campus/02fc52e2a1c8e679787df2068985f853c984f48c	ok		1235780	0.131679	0.941061	0.998842	8.297989	0.977409	0.000000	0.000000	56.154110	0.133509	0.815162	0.998941	9.816520	0.123238	0.928943	0.998905	8.071879	1.098294
Cleaned_Dataset_Campus/031938ac81c6aaf7091bdc593014ffb69701470a	ok		1235780	0.038001	0.983890	0.999827	3.724574	0.964084	0.000000	0.000000	61.171543	0.145155	0.621251	0.989983	8.605388	0.038034	0.994942	0.999820	3.363025	1.095364
Cleaned_Dataset_Campus/03b6c6256cf08b8ec47a80e92cc462ee8a6758c4	ok		686784	0.071684	0.994263	0.999841	10.270920	0.983113	0.000000	0.000000	110.725952	0.083916	0.914941	0.999792	13.165920	0.074467	0.998524	1.000000	8.342245	1.083554
Cleaned_Dataset_Campus/03c43fcfae54a727a532b3cddb20fd0b53566a4a	ok		686784	0.060722	0.968574	0.999480	10.462076	0.970337	0.000000	0.000000	88.058502	0.151707	0.779988	0.990844	21.848484	0.036273	0.995049	0.999343	5.119082	1.091955
