filename	status	skip_reason	valid_pixels	depth_metric.absrel	depth_metric.delta1	depth_metric.delta2	depth_metric.rmse	inference_time
Cleaned_Dataset_Campus/003d14f8ba845173f71622f07c366d0bda87bdf5	ok		686784	0.401041	0.000483	0.008132	44.675747	0.101548
Cleaned_Dataset_Campus/0076e6731e7f8cda9ba9a1409f35c761a4fcd975	ok		686782	0.328689	0.001213	0.948119	53.142281	0.082610
Cleaned_Dataset_Campus/00aec9feacc5d5f11a3a3e849e2420af9f91dbda	ok		1235780	0.074922	0.998852	0.999999	4.992980	0.082969
Cleaned_Dataset_Campus/00c2866019692c7d1f90ff0cf3a5158b322237c0	ok		1235780	0.145095	0.569637	0.999575	12.490578	0.082594
Cleaned_Dataset_Campus/0111062125c149fc315d12a347581ad4fbd8c111	ok		1235780	0.195277	0.405996	0.999994	22.839664	0.082975
Cleaned_Dataset_Campus/01215c77a593269172c852c483dabd9c0aa5d160	ok		686784	0.178190	0.568355	0.998084	15.539779	0.082806
Cleaned_Dataset_Campus/0122c35b6f776592e085fb47ad4bb81121b1e941	ok		1235780	0.151078	0.984831	0.999709	13.426319	0.083091
Cleaned_Dataset_Campus/01334ed4583321adf0c633110556976ae2fe63a9	ok		1235780	0.123863	0.593402	0.998948	11.460009	0.082623
Cleaned_Dataset_Campus/016050b8cc2279d7c04a1474724b5290a184689c	ok		686784	0.333772	0.016366	0.538656	21.606480	0.082411
Cleaned_Dataset_Campus/01d42c580eb4444c5db96d6d802f4c2ec8f5fe6d	ok		686784	0.386566	0.000071	0.196485	62.634861	0.082466
Cleaned_Dataset_Campus/0224cbc40e8007a1c7aa6da365976889cf845ec5	ok		686784	0.346186	0.001251	0.545837	23.874088	0.082572
Cleaned_Dataset_Campus/02d8c2292be69a5b1de1c328bc1e251a1886be2d	ok		1235780	0.160942	0.833657	0.998845	14.489769	0.082432
Cleaned_Dataset_Campus/02e5bc2c37ef37f9a01e9d8d7f94d4da20655d3a	ok		686784	0.202825	0.427061	0.998947	18.037758	0.082534
Cleaned_Dataset_Campus/02fc52e2a1c8e679787df2068985f853c984f48c	ok		1235780	0.196376	0.544948	0.998106	16.411596	0.083870
Cleaned_Dataset_Campus/031938ac81c6aaf7091bdc593014ffb69701470a	ok		1235780	0.173113	0.411487	0.999651	13.806124	0.083189
Cleaned_Dataset_Campus/03b6c6256cf08b8ec47a80e92cc462ee8a6758c4	ok		686784	0.371020	0.000868	0.446365	42.596329	0.082080
Cleaned_Dataset_Campus/03c43fcfae54a727a532b3cddb20fd0b53566a4a	ok		686784	0.237028	0.190817	0.999407	21.892332	0.082334
Cleaned_Dataset_Campus/04dfb9d870229f0af77f5e241e87240fa6faa7bd	ok		686652	0.187650	0.497832	0.996934	23.947866	0.082323
Cleaned_Dataset_Campus/051b27af32fbcf2d7e0bc4a5edd489ac544025e2	ok		1235780	0.143504	0.970956	0.999930	18.696308	0.082801
Cleaned_Dataset_Campus/05b3a69aae117ceb9ae4afa2eadee0b2371d7131	ok		686784	0.113804	0.887758	0.998267	12.700204	0.082923
Cleaned_Dataset_Campus/063542b2ac3cc4c5991d8db1a172e4be15ddec85	ok		686783	0.182049	0.599447	0.999176	22.622353	0.082305
Cleaned_Dataset_Campus/0651ac3118238c6cbd2760cde7f32bef5d95ea01	ok		1235664	0.225207	0.416224	0.991895	21.092978	0.083005
Cleaned_Dataset_Campus/066b9b046d8a232e07b1eca8d770f032b566fd39	ok		1216228	0.172363	0.745316	0.999066	31.294924	0.083074
Cleaned_Dataset_Campus/069684f7f0703aa615a53070291bf958557219e8	ok		468275	0.290218	0.000412	0.990427	29.585453	0.082331
Cleaned_Dataset_Campus/071c6586dfb22a16b851ab7b4a604ae4e39cc225	ok		1235779	0.295752	0.002080	0.997736	38.761871	0.082625
Cleaned_Dataset_Campus/075e131098235ec9cd0a30b6fbb63031ccb9312c	ok		686784	0.137009	0.756807	0.999422	13.352785	0.082607
Cleaned_Dataset_Campus/077bcce0026e602b9f18ab98213ca3fa260fc3c0	ok		1233101	0.253752	0.051735	0.998376	39.821941	0.083354
Cleaned_Dataset_Campus/07962181443bfd0238f065e522fdc26de2d08b24	ok		1235777	0.173104	0.948568	0.999823	20.308159	0.082969
Cleaned_Dataset_Campus/07aced55e9e225e9d4384eaf19a792d65b3ebf55	ok		1235780	0.062659	0.998715	0.999832	6.044045	0.082394
Cleaned_Dataset_Campus/07ca4efc5966b4df06542be7a9dd8ff0c01bf66b	ok		686784	0.264200	0.237366	0.996080	33.566807	0.082428
Cleaned_Dataset_Campus/08021c6e63b6268e36616fb2e0a2de651ffb6cf1	ok		1235780	0.217232	0.558344	0.997346	16.181141	0.083349
Cleaned_Dataset_Campus/089be1c6fa6be2843c6f8fa57e19083c635974ae	ok		1235780	0.183675	0.599245	0.999856	22.752373	0.082777
Cleaned_Dataset_Campus/093b4ccacca70432323cae903128508d14544df0	ok		1235780	0.200442	0.470466	0.999532	14.130169	0.082437
Cleaned_Dataset_Campus/094744021a0a3fd2c23f97ee07e2b73d8bcf6827	ok		686784	0.366379	0.000680	0.334395	27.982416	0.082335
Cleaned_Dataset_Campus/0965a74bdc6197b4ecc936563479f332a8627abf	ok		686715	0.274243	0.009063	0.996971	34.758694	0.082364
Cleaned_Dataset_Campus/09d2613b8538e9dabe8f9e5a829fc76088a53535	ok		686693	0.351112	0.001914	0.660738	25.113726	0.082317
Cleaned_Dataset_Campus/0ae19a41217604333152509dc030bcfc193320a1	ok		1235164	0.208594	0.395765	0.999774	28.150549	0.082970
Cleaned_Dataset_Campus/0b3809161ce5b780ad79d43cf129175a9139a3e1	ok		686784	0.338984	0.007826	0.638421	23.384672	0.083013
