		Campus	Factory	Farm	Gress
		AbsRel RMSE ↓ a1.10 a1.25 ↑	AbsRel RMSE ↓ a1.10 a1.25 ↑	AbsRel RMSE ↓ a1.10 a1.25 ↑	AbsRel RMSE ↓ a1.10 a1.25 ↑
FOV					
MoGe2-Ours	63	27.92  30.63  10.6  30.6	31.35  36.77  7.9  24.4	74.01  96.82  0.0  0.1	35.40  43.70  5.9  17.3
MoGe2-Ours	83	30.01  35.00  7.3  22.6	22.40  26.01  14.2  44.8	67.40  87.11  0.0  0.0	29.96  36.08  6.0  21.4
pitch					
MoGe2-Ours	-90-Nadir	31.99  29.61  4.1  14.6	34.50  33.19  1.5  7.3	74.04  80.50  0.0  0.0	40.56  40.91  0.5  4.6
MoGe2-Ours	-75	24.03  23.33  11.1  37.3	21.13  21.83  13.2  47.1	68.77  78.24  0.0  0.0	29.78  31.82  7.5  26.2
MoGe2-Ours	-60	22.90  25.84  16.9  42.8	18.10  21.39  25.2  63.8	66.87  86.48  0.0  0.0	25.68  31.40  14.1  34.1
MoGe2-Ours	-45-Oblique	36.46  51.49  4.0  12.7	33.56  49.66  4.8  21.2	74.51  124.55  0.0  0.1	35.12  54.18  1.6  12.1
Altitude					
MoGe2-Ours	80m	24.04  20.58  16.4  43.1	22.74  20.12  19.4  47.1	68.15  70.27  0.0  0.1	29.81  29.38  11.5  30.2
MoGe2-Ours	120m	33.89  45.05  1.5  10.1	31.01  42.66  2.7  22.0	73.41  110.58  0.0  0.0	35.55  50.42  0.4  8.5
