Focal_Length_px,FOV_X_Mean,FOV_X_Min,FOV_X_Max,Count,FOV_Y_Mean,FOV_Y_Min,FOV_Y_Max,Example_Scenes
734.74,68.9,68.9,68.9,15370,68.9,68.9,68.9,interval5_AMvalley03_cropped_downsampled; interval5_HKairport02_cropped_downsampled; interval5_AMvalley02_cropped_downsampled; interval5_HKisland03_cropped_downsampled; interval5_HKairport_GNSS_Evening_cropped_downsampled
996.54,53.54,53.54,53.54,9295,37.56,37.56,37.56,longhua
1794.82,36.67,36.67,36.67,3307,24.87,24.87,24.87,Artsci
1807.2,36.75,36.75,36.75,2367,24.71,24.71,24.71,polytech
923.15,73.26,73.26,73.26,1500,51.52,51.52,51.52,sztu
922.87,73.27,73.27,73.27,1215,51.5,51.5,51.5,sziit
837.92,69.91,69.91,69.91,1020,50.0,50.0,50.0,T-zip-output
916.78,72.8,72.8,72.8,854,52.53,52.53,52.53,yingrenshi
922.46,73.3,73.3,73.3,715,51.53,51.53,51.53,upper
922.78,73.28,73.28,73.28,684,51.53,51.53,51.53,lfls
922.71,73.28,73.28,73.28,561,51.55,51.55,51.55,SMBU
575.35,82.31,82.31,82.31,497,65.79,65.79,65.79,park4
602.51,79.61,79.61,79.61,497,63.33,63.33,63.33,park6
620.16,77.88,77.88,77.88,496,61.75,61.75,61.75,park14
610.93,79.81,79.81,79.81,493,60.56,60.56,60.56,ODM6-output
762.81,66.07,66.07,66.07,487,50.8,50.8,50.8,park0
580.43,81.81,81.81,81.81,486,65.41,65.41,65.41,park12
904.55,69.56,69.56,69.56,462,52.3,52.3,52.3,ODM34-output
604.69,79.42,79.42,79.42,449,63.09,63.09,63.09,park13
601.21,79.77,79.77,79.77,448,63.43,63.43,63.43,park5
595.33,79.61,79.61,79.61,442,62.68,62.68,62.68,ODM3-output
581.61,81.66,81.66,81.66,440,65.27,65.27,65.27,park7
580.54,81.81,81.81,81.81,420,65.37,65.37,65.37,park9
607.05,79.2,79.2,79.2,417,49.65,49.65,49.65,park3
922.75,73.28,73.28,73.28,415,51.53,51.53,51.53,lfls2
631.75,76.91,76.91,76.91,396,60.68,60.68,60.68,park8
922.7,73.28,73.28,73.28,393,51.52,51.52,51.52,hav
600.63,79.81,79.81,79.81,384,63.5,63.5,63.5,park2
1000.23,53.98,53.98,53.98,348,37.61,37.61,37.61,L1
619.13,77.92,77.92,77.92,346,61.8,61.8,61.8,park10
982.86,55.06,55.06,55.06,309,38.46,38.46,38.46,BC1
843.37,70.23,70.23,70.23,307,49.88,49.88,49.88,R-PHD-output
950.42,56.61,56.61,56.61,301,39.58,39.58,39.58,BC2
765.63,82.92,82.92,82.92,297,62.24,62.24,62.24,ODM2-output
588.27,80.94,80.94,80.94,287,64.65,64.65,64.65,park11
766.03,82.89,82.89,82.89,271,62.24,62.24,62.24,ODM1-output
838.95,69.97,69.97,69.97,166,49.9,49.9,49.9,S-output
626.91,71.59,71.59,71.59,166,55.1,55.1,55.1,sceneca-output
713.9,69.33,69.33,69.33,134,52.12,52.12,52.12,lewis-output
618.26,79.58,79.58,79.58,115,63.47,63.47,63.47,bellus-output
611.66,77.98,77.98,77.98,87,62.28,62.28,62.28,ODM32-output
739.02,70.46,70.46,70.46,77,55.1,55.1,55.1,caliterra-output
903.95,70.24,70.24,70.24,73,52.16,52.16,52.16,aukerman-output
